iter	F1	Logloss
105	0.8459604425	0.1447809516
106	0.8462505237	0.1446996731
107	0.8469268129	0.1444055006
108	0.8468558989	0.1444026015
109	0.847210588	0.1442479112
110	0.8474036851	0.1442249552
111	0.8473327192	0.1442119683
112	0.8473582852	0.1442024231
113	0.8478096993	0.1439363437
114	0.8479316697	0.1439129808
115	0.8480026798	0.1439101325
116	0.8480026798	0.1439098273
117	0.8476932094	0.1438659668
118	0.8476932094	0.1438592699
119	0.8476932094	0.1438551331
120	0.8476932094	0.1438511149
121	0.8476932094	0.1438509623
122	0.8478151683	0.143779246
123	0.8477442036	0.1437741767
124	0.8478151683	0.1437682597
125	0.8478151683	0.1437667847
126	0.8478151683	0.1437665134
127	0.8478151683	0.143764818
128	0.8478151683	0.1437539842
129	0.8478861448	0.1437192451
130	0.8479825883	0.1437049696
131	0.8479825883	0.1437030199
132	0.8480790157	0.1436916097
133	0.8479825883	0.1436738417
134	0.8479825883	0.1436631097
135	0.8479825883	0.1436624485
136	0.8479825883	0.1436576674
137	0.8477896852	0.1436435954
138	0.8477896852	0.1436425781
139	0.8477896852	0.1436425612
140	0.8477896852	0.1436361525
141	0.8477896852	0.1436351352
142	0.8477896852	0.1436344401
143	0.8483935743	0.1428237067
144	0.8490376569	0.1425871616
145	0.8490376569	0.1425731405
146	0.849012387	0.1425648668
147	0.8498284949	0.1422640652
148	0.8498284949	0.1418195597
149	0.8498284949	0.1417957391
150	0.8499247114	0.1415229034
151	0.8499247114	0.1415219201
152	0.8505227938	0.1413016425
153	0.8507824923	0.1409468926
154	0.8512382865	0.1408689965
155	0.851167071	0.140852517
156	0.851167071	0.1408379703
157	0.8512631755	0.1408186849
158	0.8512631755	0.1408059014
159	0.8513592639	0.1408049605
160	0.8511919699	0.1407779609
161	0.8513592639	0.1407538944
162	0.8512880562	0.1407532501
163	0.8511207762	0.1407454766
164	0.8512168604	0.1407452732
165	0.8522394307	0.1404161411
166	0.8523355098	0.1403736877
167	0.8522146864	0.1403576999
168	0.8522146864	0.1403575728
169	0.8527935764	0.140131073
170	0.8530567868	0.1401168993
171	0.8530567868	0.1401167128
172	0.8530567868	0.1401157718
173	0.8528920094	0.1397851054
174	0.8527961214	0.139729343
175	0.8535319719	0.1394436561
176	0.853819764	0.1391474236
177	0.8541056332	0.1386885579
178	0.8541056332	0.1386756388
179	0.8541056332	0.1386735365
180	0.8541056332	0.1386714172
181	0.8541056332	0.1386482154
182	0.8543445505	0.1385518138
183	0.854368932	0.1385425144
184	0.8544404453	0.1385282728
185	0.8542730393	0.1385204061
186	0.8542974307	0.1384978061
187	0.854368932	0.1383770837
188	0.8546321868	0.1383522797
