iter	Passed	Remaining
399	62082	248329
400	62191	247990
401	62336	247796
402	62451	247480
403	62607	247332
404	62732	247057
405	62870	246836
406	62958	246420
407	63082	246144
408	63187	245798
409	63262	245334
410	63381	245042
411	63472	244646
412	63559	244234
413	63650	243838
414	63764	243533
415	63895	243294
416	64023	243045
417	64119	242671
418	64220	242322
419	64289	241849
420	64405	241560
421	64490	241150
422	64577	240751
423	64700	240490
424	64798	240133
425	64898	239787
426	65005	239469
427	65093	239083
428	65182	238699
429	65268	238305
430	65375	237990
431	65482	237676
432	65575	237313
433	65663	236932
434	65773	236635
435	65923	236478
436	66036	236188
437	66148	235900
438	66287	235707
439	66406	235439
440	66572	235342
441	66694	235092
442	66790	234744
443	66914	234502
444	67060	234333
445	67199	234142
446	67324	233903
447	67425	233582
448	67523	233248
449	67657	233042
450	67805	232885
451	67885	232491
452	68020	232290
453	68138	232031
454	68306	231940
455	68399	231598
456	68502	231289
457	68662	231172
458	68851	231155
459	68942	230808
460	69077	230608
461	69208	230395
462	69325	230136
463	69435	229855
464	69511	229463
465	69624	229192
466	69776	229052
467	69861	228692
468	70012	228548
469	70168	228420
